contract_award_unique_key,award_id_piid,total_obligated_amount,current_total_value_of_award,award_base_action_date,award_base_action_date_fiscal_year,awarding_agency_name,awarding_sub_agency_name,recipient_uei,recipient_name,recipient_parent_name,primary_place_of_performance_county_name,primary_place_of_performance_state_code,primary_place_of_performance_state_name,award_type,prime_award_base_transaction_description,naics_code,naics_description,extent_competed,type_of_set_aside,number_of_offers_received
CONT_AWD_0111_9700_F1962801D0016_9700,0111,72624882.8,2098396.0,2016-06-10,2016,Department of Defense,Department of the Air Force,WZWRLY4G3PL8,THE BOEING COMPANY,THE BOEING COMPANY,KING,WA,WASHINGTON,DELIVERY ORDER,IGF::OT::IGF AIRBORNE WARNING AND CONTROL SYSTEM (AWACS) BLOCK 40/45 INTERIM CONTRACTOR SUPPORT,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,,
CONT_AWD_0111_9700_FA862010G3038_9700,0111,15094680.0,18002513.0,2013-09-30,2013,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,IGF::OT::IGF CONTRACTOR LOGISTICS SUPPORT FOR ITALIAN AIR FORCE MQ-9,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0112_9700_FA862010G3038_9700,0112,37842843.5,37983234.88,2013-09-30,2013,Department of Defense,Defense Contract Management Agency,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,FRANCE MQ-9 URGENT REQUEST HARDWARE,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0113_9700_F1962896D0038_9700,0113,5211961.07,5211961.07,2007-09-19,2007,Department of Defense,Department of the Air Force,YD6LTFVUZNG1,RAYTHEON COMPANY,ROCKWELL COLLINS AUSTRALIA PTY LIMITED,MIDDLESEX,MA,MASSACHUSETTS,DELIVERY ORDER,CHANGED DELIVERY LOCATIONS FOR DVG SWITCH KITS,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",FULL AND OPEN COMPETITION,NO SET ASIDE USED.,2.0
CONT_AWD_0113_9700_FA862010G3038_9700,0113,46765528.22,53743766.8,2013-11-01,2014,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,IGF::OT::IGF FRENCH AIR FORCE (FAF) MQ-9 UAS CONTRACTOR LOGISTICS SUPPORT (PHASE 1),336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0121_9700_FA862010G3038_9700,0121,1000383.99,374275.99,2014-08-20,2014,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,BADDC FIELDING SUPPORT,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0122_9700_W58RGZ09D0130_9700,0122,2083229.0,2083229.0,2011-04-01,2011,Department of Defense,Department of the Army,E3D7U1KNNJC8,"SCIENCE AND ENGINEERING SERVICES, LLC",SCIENCE AND ENGINEERING SERVICES LLC,MADISON,AL,ALABAMA,DELIVERY ORDER,AWARD OF HALS-3XT,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,
CONT_AWD_0123_9700_FA862010G3038_9700,0123,4889831.87,5863061.0,2014-10-14,2015,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,"NEW D.O, FY15 MRC",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0124_9700_FA862010G3038_9700,0124,2058887.09,4900698.0,2014-10-30,2015,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,IGF::CT::IGF BLOCK 30 SUSTAINING ENGINEERING&MAINTENANCE,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0130_9700_FA862010G3038_9700,0130,1410416.34,1593170.0,2014-08-25,2014,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 ER PLUS HD KITS,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0131_9700_FA862010G3038_9700,0131,586856.55,586856.55,2015-02-10,2015,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,GA-ASI MQ-9 INFRARED NOSE CAMERA UPGRADE,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0132_9700_N0001914G0020_9700,0132,651104357.25,802120181.97,2017-03-31,2017,Department of Defense,Department of the Navy,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORP,TARRANT,TX,TEXAS,DELIVERY ORDER,ISRAEL UNIQUE SPARES,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0133_9700_FA862010G3038_9700,0133,1041142.0,1041142.0,2015-01-14,2015,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,IGF::CT::IGF NETHERLANDS AIRWORTHINESS ASSESSMENT,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0133_9700_N0001914G0020_9700,0133,6976851.54,8117610.54,2017-02-08,2017,Department of Defense,Defense Contract Management Agency,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,TARRANT,TX,TEXAS,DELIVERY ORDER,USRL BLOCK 3F UPDATE; IGF::OT::IGF,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0134_9700_FA810709D0001_9700,0134,351737.56,395320.08,2015-05-20,2015,Department of Defense,Defense Contract Management Agency,XM8ZJ6ML9CW7,THE BOEING COMPANY,THE BOEING COMPANY,OKLAHOMA,OK,OKLAHOMA,DELIVERY ORDER,IGF::OT::IGF  ENGINEERING SERVICES FOR B-52,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_0134_9700_FA823207D0001_9700,0134,292575.2,292575.2,2013-04-04,2013,Department of Defense,Department of the Air Force,GUVUU89P78Q3,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN CORPORATION,ANNE ARUNDEL,MD,MARYLAND,DELIVERY ORDER,IGF::OT::IGF V-9 RETURN AND REPAIR,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT AVAILABLE FOR COMPETITION,,
CONT_AWD_0134_9700_FA862010G3038_9700,0134,1711838.0,1711838.0,2015-03-31,2015,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,MQ-9 MALET VORTEX UPPER C-BAND,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0
CONT_AWD_0136_9700_FA823207D0001_9700,0136,458097.85,458097.85,2013-04-22,2013,Department of Defense,Department of the Air Force,GUVUU89P78Q3,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN CORPORATION,ANNE ARUNDEL,MD,MARYLAND,DELIVERY ORDER,IGF::OT::IGF V-9 RETURN AND REPAIR,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT AVAILABLE FOR COMPETITION,,
CONT_AWD_0137_9700_FA823207D0001_9700,0137,1712824.0,1712824.0,2013-07-01,2013,Department of Defense,Department of the Air Force,GUVUU89P78Q3,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN CORPORATION,ANNE ARUNDEL,MD,MARYLAND,DELIVERY ORDER,IGF::OT::IGF V-9  RETURN AND REPAIR,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT AVAILABLE FOR COMPETITION,,
CONT_AWD_0137_9700_FA862010G3038_9700,0137,25874114.21,26061647.21,2015-01-20,2015,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,IGF::OT::IGF FMS UK CONTRACTOR LOGISTICS SUPPORT,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0140_9700_FA862010G3038_9700,0140,25829374.04,8624043.54,2015-05-08,2015,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,IGF::OT::IGF MQ-9 ESIP UCA,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0141_9700_N0001914G0020_9700,0141,552070.96,552070.96,2017-01-05,2017,Department of Defense,Defense Contract Management Agency,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,TARRANT,TX,TEXAS,DELIVERY ORDER,IGF::OT::IGF- ISRAEL AIR WORTHINESS,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0
CONT_AWD_0142_9700_N0001914G0020_9700,0142,391105.12,740370.0,2017-02-14,2017,Department of Defense,Department of the Navy,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORP,TARRANT,TX,TEXAS,DELIVERY ORDER,"DO 0142, SINGAPORE CORE SUPPORT IGF::OT::IGF",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0142_9700_W58RGZ09D0130_9700,0142,3633965.66,3633965.66,2011-09-29,2011,Department of Defense,Department of the Army,E3D7U1KNNJC8,"SCIENCE AND ENGINEERING SERVICES, LLC",SCIENCE AND ENGINEERING SERVICES LLC,MADISON,AL,ALABAMA,DELIVERY ORDER,DEGRADED VISUAL ENVIRONMENT (DVE) OPERATIONAL NEED STATEMENT (ONS) 11-14093 REQUIREMENT IS TO MATURE AND INTEGRATE THE HELICOPTER AUTONOMOUS LANDING SYSTEM (HALS) 3 EXTENDED TEST (XT) ACTIVE SENSOR TECHNOLOGY (HEREAFTER REFERRED TO AS THE DVE ONS SYSTEM) ON THE UH-60L PLATFORM.,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,
CONT_AWD_0144_9700_N0001914G0020_9700,0144,19726272.0,19726272.0,2017-10-17,2018,Department of Defense,Department of the Navy,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORP,TARRANT,TX,TEXAS,DELIVERY ORDER,"DO 0144, UK FOCFT UCA IGF::OT::IGF",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0145_9700_N0001914G0020_9700,0145,318134.62,370790.62,2017-06-06,2017,Department of Defense,Defense Contract Management Agency,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,MIDDLESEX,MA,MASSACHUSETTS,DELIVERY ORDER,IGF::OT::IGF NIMBLE FIRE 2K17,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0153_9700_W58RGZ09D0130_9700,0153,1638084.57,1638084.57,2012-01-13,2012,Department of Defense,Department of the Army,E3D7U1KNNJC8,"SCIENCE AND ENGINEERING SERVICES, LLC",SCIENCE AND ENGINEERING SERVICES LLC,MADISON,AL,ALABAMA,DELIVERY ORDER,"THIS STATEMENT OF WORK (SOW) DESCRIBES AND SPECIFIES A CONTRACTOR EFFORT REQUIRED TO PERFORM  PREPARATION, LOGISTICS, INTERIM CONTRACTOR SUPPORT AND OPTION FOR ENGINEERING SERVICES OF AN MOTS ENGINEERING DEVELOPMENT MODEL (EDM) (HENCEFORTH REFERRED TO AS EDM1 AND EDM2) AIR TRAFFIC CONTROL (ATC) TOWER GROUP THAT WILL BE FIELDED TO AN ARMY ATC UNIT.  THE SOW ADDRESSES HARDWARE PREPARATION UTILIZING COMPONENTS FROM THE TWO MOTS EDMS TO EXPEDITE PREPARATION OF A SINGLE MOTS ATC TOWER GROUP EDM CAPABLE OF DEPLOYMENT TO THEATRE.  EDM2 WILL BE UTILIZED TO RECONFIGURE, SUPPORT AND DEPLOY EDM1.  THIS SOW ADDRESSES INITIAL ISSUE SPARES AND INTERIM CONTRACTOR SUPPORT SPARES HARDWARE TO SUPPORT UNIT TRAINING AND DEPLOYMENT OF A SINGLE MOTS ATC TOWER GROUP EDM FOR A PERIOD OF 18 MONTHS.  THIS SOW ADDRESSES LOGISTIC MATERIAL UPDATES.  THIS SOW ADDRESSES 6 MONTHS OF CONUS AND 12 MONTHS OF IN-THEATER CONTRACTOR FIELD SERVICE SUPPORT.  THE CONTRACTOR SHALL BE RESPONSIBLE FOR PROVIDING ALL MATERIALS, EQUIPMENT, FACILITIES, HARDWARE/SOFTWARE (EXCEPT GOVERNMENT FURNISHED EQUIPMENT (GFE) LISTED IN THE CONTRACT), TECHNICAL, PLANNING, MANAGEMENT, MANUFACTURING, AND SHIPPING EFFORTS REQUIRED TO MANAGE THIS CONTRACT.  1.1 BACKGROUND  TWO MOTS EDMS (EDM1 AND EDM2) WERE DESIGNED AND FABRICATED DURING THE SYSTEM DESIGN AND DEVELOPMENT (SDD) PHASE OF THE MOTS ACQUISITION CYCLE.  THE TWO EDMS WERE SUBJECTED TO DEVELOPMENTAL AND OPERATIONAL TESTING THAT EXPOSED THE MOTS TO TESTS THAT REPLICATED THE EFFECTS OF ENVIRONMENTS ON THE EQUIPMENT AND THE CONDITIONS THAT MOTS WILL EXPERIENCE THROUGHOUT ITS SERVICE LIFE.  THE MOTS EDM1 WAS UPDATED UNDER AN SDD EXTENSION CONTRACT FOR SEVERAL PRODUCTION CONFIGURATION IMPROVEMENTS.",336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,
CONT_AWD_0168_9700_W58RGZ09D0130_9700,0168,28847313.5,28847313.5,2012-06-06,2012,Department of Defense,Department of the Army,E3D7U1KNNJC8,"SCIENCE AND ENGINEERING SERVICES, LLC",SCIENCE AND ENGINEERING SERVICES LLC,MADISON,AL,ALABAMA,DELIVERY ORDER,MATURE AND INTEGRATE THE DEGRADED VISUAL ENVIRONMENT (DVE) SYTESM ON THE UH-60L PLATFORM.,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,
CONT_AWD_0169_9700_N0001911G0001_9700,0169,13274109.86,13516609.86,2013-09-24,2013,Department of Defense,Defense Contract Management Agency,JJM4FRDZJDX1,THE BOEING COMPANY,THE BOEING COMPANY,SAINT LOUIS,MO,MISSOURI,DELIVERY ORDER,ECP 6389 F/A-18C/D FY13 RETROFIT A KITS,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0170_9700_N0001911G0001_9700,0170,2481435.0,2481435.0,2013-09-26,2013,Department of Defense,Department of the Navy,JJM4FRDZJDX1,THE BOEING COMPANY,THE BOEING COMPANY,SAINT LOUIS,MO,MISSOURI,DELIVERY ORDER,VALIDATION/VERIFICATION KITS,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0171_9700_N0001911G0001_9700,0171,1921087.0,1921087.0,2013-09-26,2013,Department of Defense,Department of the Navy,JJM4FRDZJDX1,THE BOEING COMPANY,THE BOEING COMPANY,SAINT LOUIS,MO,MISSOURI,DELIVERY ORDER,VALIDATION/VERIFICATION KITS,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0178_9700_N0001911G0001_9700,0178,2669101.0,2669101.0,2014-07-08,2014,Department of Defense,Defense Contract Management Agency,JJM4FRDZJDX1,THE BOEING COMPANY,THE BOEING COMPANY,SAINT LOUIS,MO,MISSOURI,DELIVERY ORDER,DESIGN&DEVELOPMENT,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0178_9700_W58RGZ09D0130_9700,0178,116591222.32,116591222.32,2012-10-18,2013,Department of Defense,Department of the Army,E3D7U1KNNJC8,"SCIENCE AND ENGINEERING SERVICES, LLC",SCIENCE AND ENGINEERING SERVICES LLC,MADISON,AL,ALABAMA,DELIVERY ORDER,CONVERSION OF ARMY UH-60L BLACK HAWK HELICOPTERS TO AIR FORCE HH-60G HELICOPTERS,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,
CONT_AWD_0181_9700_N0001911G0001_9700,0181,386437.64,386437.64,2014-04-10,2014,Department of Defense,Department of the Navy,JJM4FRDZJDX1,THE BOEING COMPANY,THE BOEING COMPANY,SAINT LOUIS,MO,MISSOURI,DELIVERY ORDER,AWARD FOR THE UPDATE OF ECP 1054-07 AND ECP 1049-07R1 PAPER PUBLICATION AND IETMS UPDATES.,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0181_9700_N0001916G0001_9700,0181,2365873.29,2365873.29,2017-03-02,2017,Department of Defense,Department of the Navy,JJM4FRDZJDX1,THE BOEING COMPANY,THE BOEING COMPANY,SAINT LOUIS,MO,MISSOURI,DELIVERY ORDER,"ECP G044 ""ALTERNATIVE F/A-18 A-D FUEL CELLS FOR TANKS 2&3""",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,1.0
CONT_AWD_0191_9700_N0001911G0001_9700,0191,342132.0,342132.0,2014-06-05,2014,Department of Defense,Department of the Navy,JJM4FRDZJDX1,THE BOEING COMPANY,THE BOEING COMPANY,SAINT LOUIS,MO,MISSOURI,DELIVERY ORDER,"THE PURPOSE OF THIS ACQUISITION IS TO PROCUREMENT OF ALTERNATE ANGLE-OF-ATTACK TRANSMITTERS RETROFIT KITS IN ACCORDANCE WITH ENGINEERING CHANGE PROPOSAL (ECP) 6392, F/A-18 E/F AND EA-18G ALTERNATE ANGLE-OF-ATTACK TRANSMITTER.""",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0192_9700_W58RGZ09D0130_9700,0192,57459769.84,74919737.06,2013-04-25,2013,Department of Defense,Defense Contract Management Agency,E3D7U1KNNJC8,"SCIENCE AND ENGINEERING SERVICES, LLC",SCIENCE AND ENGINEERING SERVICES LLC,MADISON,AL,ALABAMA,DELIVERY ORDER,MI-17 OVERHAULS AND FT RUCKER COCKPIT MODIFICATIONS,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,
CONT_AWD_0200_9700_N0001911G0001_9700,0200,12266104.7,12266104.7,2014-06-12,2014,Department of Defense,Department of the Navy,JJM4FRDZJDX1,THE BOEING COMPANY,THE BOEING COMPANY,SAINT LOUIS CITY,MO,MISSOURI,DELIVERY ORDER,NON-RECURRING ENGINEERING,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0204_9700_F0960302D0101_9700,0204,6202630.47,6202630.47,2010-11-04,2011,Department of Defense,Defense Contract Management Agency,FDMACTHU1BX1,RAYTHEON COMPANY,RAYTHEON COMPANY,MARION,IN,INDIANA,DELIVERY ORDER,37695,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,
CONT_AWD_0210_9700_W58RGZ04G0023_9700,0210,10737771.21,10737771.21,2010-10-21,2011,Department of Defense,Department of the Army,E466BXU4KJH8,THE BOEING COMPANY,THE BOEING COMPANY,DELAWARE,PA,PENNSYLVANIA,DELIVERY ORDER,COOL SYSTEM NRE,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_0212_9700_N0001911G0001_9700,0212,2266467.9,2266467.9,2014-09-29,2014,Department of Defense,Department of the Navy,JJM4FRDZJDX1,THE BOEING COMPANY,THE BOEING COMPANY,SAINT LOUIS,MO,MISSOURI,DELIVERY ORDER,RETROFIT DESIGN AND NRE,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0217_9700_N0001911G0001_9700,0217,49747083.3,49977283.3,2015-09-10,2015,Department of Defense,Department of the Navy,JJM4FRDZJDX1,THE BOEING COMPANY,THE BOEING COMPANY,SAINT LOUIS CITY,MO,MISSOURI,DELIVERY ORDER,SLAP STRUCTURES B4,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0226_9700_F0960302D0101_9700,0226,3088315.41,3088315.41,2011-09-16,2011,Department of Defense,Department of the Air Force,FDMACTHU1BX1,RAYTHEON COMPANY,RAYTHEON COMPANY,MARION,IN,INDIANA,DELIVERY ORDER,REPAIR OF VARIOUS AIRCRAFT PARTS.,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,
CONT_AWD_0226_9700_W58RGZ04G0023_9700,0226,27131935.38,27131935.38,2010-10-21,2011,Department of Defense,Department of the Army,E466BXU4KJH8,THE BOEING COMPANY,THE BOEING COMPANY,DELAWARE,PA,PENNSYLVANIA,DELIVERY ORDER,"INCREMENT 2 - CH47F, C-PHE",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_0231_9700_N0001911G0001_9700,0231,4598911.8,4598911.8,2015-07-08,2015,Department of Defense,Department of the Navy,JJM4FRDZJDX1,THE BOEING COMPANY,THE BOEING COMPANY,SAINT MARYS,MD,MARYLAND,DELIVERY ORDER,IGF::OT::IGF E66 TEST AIRCRAFT INSTRUMENTATION,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0243_9700_F0960302D0101_9700,0243,948808.4,948808.4,2012-05-23,2012,Department of Defense,Department of the Air Force,FDMACTHU1BX1,RAYTHEON COMPANY,RAYTHEON COMPANY,MARION,IN,INDIANA,DELIVERY ORDER,REPAIR OF THE APG-63 AND APG-70 RADAR SYSTEMS,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,
CONT_AWD_0245_9700_W58RGZ04G0023_9700,0245,34932953.11,34932953.11,2012-08-03,2012,Department of Defense,Department of the Army,E466BXU4KJH8,THE BOEING COMPANY,THE BOEING COMPANY,DELAWARE,PA,PENNSYLVANIA,DELIVERY ORDER,ADVANCED CHINOOK ROTOR BLADE (ACRB) TOOLING,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_0256_9700_N0001910G0004_9700,0256,7042437.0,7056387.0,2014-03-27,2014,Department of Defense,Defense Contract Management Agency,PK8PM2GNVMP8,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN CORPORATION,BREVARD,FL,FLORIDA,DELIVERY ORDER,CY14 SUSTAINING,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0259_9700_F0960303D0002_9700,0259,895655.0,866949.0,2009-07-24,2009,Department of Defense,Defense Contract Management Agency,QCJNUT2JTAW9,"NORTHROP GRUMMAN TECHNICAL SERVICES, INC.",NORTHROP GRUMMAN CORPORATION,COOK,IL,ILLINOIS,DELIVERY ORDER,DATA (ELINS A001-A004),334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_0261_9700_W58RGZ04G0023_9700,0261,69265418.0,69285976.0,2011-09-13,2011,Department of Defense,Department of the Army,E466BXU4KJH8,THE BOEING COMPANY,THE BOEING COMPANY,DELAWARE,PA,PENNSYLVANIA,DELIVERY ORDER,MH-47G NEW BUILD ADVANCED PROCUREMENT,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_0273_9700_F0960302D0101_9700,0273,330858.61,330858.61,2013-01-04,2013,Department of Defense,Department of the Air Force,FDMACTHU1BX1,RAYTHEON COMPANY,RAYTHEON COMPANY,MARION,IN,INDIANA,DELIVERY ORDER,REPAIR OF RADAR MODULATOR,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,
CONT_AWD_0275_9700_W58RGZ04G0023_9700,0275,238683873.84,239456446.0,2012-03-08,2012,Department of Defense,Defense Contract Management Agency,E466BXU4KJH8,THE BOEING COMPANY,THE BOEING COMPANY,DELAWARE,PA,PENNSYLVANIA,DELIVERY ORDER,MH-47G LOT 9 ADVANCE PROCUREMNT,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_0306_9700_W58RGZ04G0023_9700,0306,15773523.14,15773523.14,2014-03-17,2014,Department of Defense,Department of the Army,E466BXU4KJH8,THE BOEING COMPANY,THE BOEING COMPANY,DELAWARE,PA,PENNSYLVANIA,DELIVERY ORDER,"DESIGN, BUILD, AND TEST OF A LIGHTWEIGHT FUEL SYSTEM FOR THE CH-47 AIRCRAFT",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_0307_9700_W58RGZ04G0023_9700,0307,17884054.0,17884054.0,2014-04-03,2014,Department of Defense,Department of the Army,E466BXU4KJH8,THE BOEING COMPANY,THE BOEING COMPANY,DELAWARE,PA,PENNSYLVANIA,DELIVERY ORDER,BLOCK II IMPROVED DRIVE TRAIN PRELIMINARY DESIGN,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
